instance,0,v_num,time,1,v_num,time,2,v_num,time,3,v_num,time,4,v_num,time,5,v_num,time,6,v_num,time,7,v_num,time,8,v_num,time,9,v_num,time,best,average,average_time
 dtp_300_1000_0.txt,148.829695,74,41.292,149.702973,74,967.94,148.950958,74,218.621,148.660338,75,119.326,150.200041,76,793.412,150.064666,75,67.478,149.184384,75,33.876,149.470822,76,572.059,150.862895,77,969.088,150.117917,76,7.415,148.66,149.6,379.05
 dtp_300_1000_1.txt,165.323305,75,274.802,167.456361,73,790.69,168.794985,84,8.405,165.9534,74,62.147,166.117876,80,117.545,164.688798,81,479.387,167.068193,80,109.682,167.774583,81,125.106,166.100282,76,637.593,166.295839,76,597.492,164.69,166.56,320.28
 dtp_300_1000_2.txt,157.368653,75,334.19,155.689896,72,41.549,155.372667,72,277.458,156.797807,74,491.148,155.512223,71,787.57,155.363985,73,251.069,155.957596,75,11.47,155.992539,73,55.369,155.723894,74,244.294,155.905885,73,332.639,155.36,155.97,282.68
 dtp_100_150_0.txt,152.572585,43,0.385,152.572585,43,0.076,152.572585,43,0.136,152.572585,43,0.728,152.572585,43,0.331,152.572585,43,0.793,152.572585,43,0.997,152.572585,43,0.697,152.572585,43,0.346,152.572585,43,0.184,152.57,152.57,0.47
 dtp_100_150_1.txt,192.206634,46,0.902,192.206634,46,10.645,192.206634,46,7.411,192.206634,46,3.064,192.206634,46,5.473,192.206634,46,3.145,192.206634,46,3.719,192.206634,46,1.933,192.206634,46,2.412,192.206634,46,1.933,192.21,192.21,4.06
 dtp_100_150_2.txt,146.34474,42,1.667,146.34474,42,0.829,146.34474,42,2.666,146.34474,42,1.361,146.34474,42,0.47,146.34474,42,1.071,146.34474,42,5.122,146.34474,42,0.385,146.34474,42,0.452,146.34474,42,3.6,146.34,146.34,1.76
 dtp_100_200_0.txt,135.040025,35,6.706,135.040025,35,8.249,135.040025,35,14.513,135.040025,35,18.815,135.040025,35,23.337,135.040025,35,1.015,135.040025,35,23.618,135.040025,35,6.015,135.040025,35,5.76,135.040025,35,13.983,135.04,135.04,12.2
 dtp_100_200_1.txt,91.882645,37,0.136,91.882645,37,0.032,91.882645,37,0.072,91.882645,37,0.062,91.882645,37,0.035,91.882645,37,0.104,91.882645,37,0.076,91.882645,37,0.048,91.882645,37,0.073,91.882645,37,0.044,91.88,91.88,0.07
 dtp_100_200_2.txt,115.933301,39,0.095,115.933301,39,0.041,115.933301,39,0.222,115.933301,39,0.11,115.933301,39,0.027,115.933301,39,0.498,115.933301,39,0.524,115.933301,39,0.041,115.933301,39,0.344,115.933301,39,0.131,115.93,115.93,0.2
 dtp_200_400_0.txt,257.091553,75,27.864,257.091553,75,144.302,257.091553,75,321.905,257.091553,75,7.692,257.091553,75,768.76,257.291306,77,84.777,257.091553,75,526.186,257.091553,75,710.605,257.091553,75,311.421,257.091553,75,108.722,257.09,257.11,301.22
